dtcode,title,date,time,location
"20220110",,"2022-01-10","19:00",Tintern
"20220131",,"2022-01-31","19:00",Tintern
"20220228",,"2022-02-28","19:00",Tintern
"20220328",,"2022-03-28","19:00",Tintern
"20220425",,"2022-04-25","19:00",Tintern
"20220523",AGM,"22-05-23","18:30",Tintern,
"20220620","Meeting re Old Station","22-06-20","19:00",Tintern,
"20220627",,"2022-06-27","19:00",Llandogo
"20220725",,"2022-07-25","19:00",Tintern
"20220822",,"2022-08-22","19:00",Llandogo
"20220926",,"2022-09-26","19:00",Tintern
"20221031",,"2022-10-31","19:00",Llandogo
"20221128",,"2022-11-28","19:00",Tintern
"20230109",,"2023-01-09","19:00",Llandogo
"20230130",,"2023-01-30","19:00",Tintern
"20230227",,"2023-02-27","19:00",Llandogo
"20230327",,"2023-03-27","19:00",Tintern
