id,standard,alternative,english
1,Abaty Cwm-hir,,"Abbey Cwm-hir"
2,Aberaeron,,Aberaeron
3,Aberafan,,Aberafan
4,Aberaman,,Aberaman
5,Aberangell,,Aberangell
6,Aberarad,,Aberarad
7,Aber-arth,,Aber-arth
8,Aber-bach,,"Little Haven"
9,Aber-banc,,Aber-banc
10,Aberbargod,Aberbargoed,Aberbargoed
11,Aberbechan,,Aberbechan
12,Aberbîg,,Aberbeeg
13,Aberbowlan,,Aberbowlan
14,Aberbrân,,Aberbrân
15,Abercannaid,,Abercannaid
16,Aber-carn,,Aber-carn
17,Abercastell,,Abercastell
18,Abercegyr,,Abercegyr
19,Aberchwiler,,Aberwheeler
20,Aberclydach,,Aberclydach
21,Aberclydach,,Aberclydach
22,Aber-craf,,Abercrave
23,Abercregan,,Abercregan
24,Aber-cuch,,Aber-cuch
25,Abercwmboi,,Abercwmboi
26,Abercynffig,,Aberkenfig
27,Abercynon,,Abercynon
28,Abercywarch,,Abercywarch
29,Aberdâr,,Aberdare
30,Aberdaron,,Aberdaron
31,Aberdaugleddau,,"Milford Haven"
32,Aberdesach,,Aberdesach
33,Aberduar,,Aberduar
34,Aberdulais,,Aberdulais
35,Aberdyfi,,Aberdyfi
36,Aberedw,,Aberedw
37,Abereiddi,,Abereiddi
38,Aber-erch,,Aber-erch
39,Aberfan,,Aberfan
40,Aber-ffrwd,,Aber-ffrwd
41,Aber-ffrwd,,Aber-ffrwd
42,Abergarw,,Abergarw
43,Abergarwed,,Abergarwed
44,Abergeirw,,Abergeirw
45,Abergele,,Abergele
46,Abergiâr,,Abergiâr
47,Aberglaslyn,,Aberglaslyn
48,Aberglasne,,Aberglasney
49,Abergorci,,Abergorci
50,Abergorlech,,Abergorlech
51,Abergwaun,,Fishguard
52,Abergwenffrwd,,Whitebrook
53,Abergwesyn,,Abergwesyn
54,Abergwidol,,Abergwidol
55,Abergwili,,Abergwili
56,Abergwynfi,,Abergwynfi
57,Abergwyngregyn,,Abergwyngregyn
58,Abergynolwyn,,Abergynolwyn
59,Aberhafesb,,Aberhafesb
60,Aberhalen,,Aberhalen
61,Aberhonddu,,Brecon
62,Aberhosan,,Aberhosan
63,Aber-lash,,Aber-lash
64,Aberllefenni,,Aberllefenni
65,Aberllolwyn,,Aberllolwyn
66,Aberllydan,,"Broad Haven"
67,Aberllynfi,,"Three Cocks"
68,Aber-mad,,Aber-mad
69,Abermagwr,,Abermagwr
70,Abermeurig,,Abermeurig
71,Aber-miwl,,Abermule
72,Abermor-ddu,,Abermor-ddu
73,Aber-nant,,Aber-nant
74,Aber-nant,,Aber-nant
75,Aber-nant,,Aber-nant
76,Aber-oer,,Aber-oer
77,Aberogwr,,Ogmore-by-sea
78,Aberpennar,,"Mountain Ash"
79,Aber-porth,,Aber-porth
80,Aber-pwll,,Aber-pwll
81,Aberriw,,Berriew
82,Abersoch,,Abersoch
83,Abersychan,,Abersychan
84,Abertawe,,Swansea
85,Aberteifi,,Cardigan
86,Aberthin,,Aberthin
87,Abertridwr,,Abertridwr
88,Abertridwr,,Abertridwr
89,Abertrinant,,Abertrinant
90,Abertyleri,,Abertillery
91,Abertyswg,,Abertyswg
92,Aberysgir,,Aberysgir
93,Aberystwyth,,Aberystwyth
94,Achddu,,Achddu
95,Acre-fair,,Acre-fair
96,Acstyn,,Axton
97,Adamsdown,,Adamsdown
98,Adfa,,Adfa
99,Afoneitha,,Afoneitha
100,Afon-wen,,Afon-wen
101,Afon-wen,,Afon-wen
102,"Albert Town",,"Albert Town"
103,Allt,,Allt
104,"Allt y Main",,"Allt y Main"
105,Alltami,,Alltami
106,Allteuryn,,Goldcliff
107,Alltmelyd,,Meliden
108,Alltwalis,,Alltwalis
109,Allt-wen,,Allt-wen
110,Alltyblaca,,Alltyblaca
111,Alltyrodyn,,Alltyrodyn
112,Allt-yr-ynn,,Allt-yr-ynn
113,Alport,,Alport
114,Alway,,Alway
115,Amlwch,,Amlwch
116,Amroth,,Amroth
117,Anelog,,Anelog
118,Angle,,Angle
119,Arberth,,Narberth
120,Ardd-lin,,Arddleen
121,Argoed,,Argoed
122,Arthog,,Arthog
123,"Yr As Fawr",,Monknash
124,Ashfield,,Ashfield
125,Aston,,Aston
126,Atpar,,Atpar
127,Babel,,Babel
128,Babell,,Babell
129,Bachau,,Bachau
130,Bachygwreiddyn,,Bachygwreiddyn
131,"Bae Cinmel",,"Kinmel Bay"
132,"Bae Colwyn",,"Colwyn Bay"
133,Bagillt,,Bagillt
134,Baglan,,Baglan
135,"Y Bala",,"Y Bala"
136,Ballan,,Ballan
137,Bancffosfelen,,Bancffosfelen
138,Bancycapel,,Bancycapel
139,Bancydarren,,Bancydarren
140,Bancyfelin,,Bancyfelin
141,Banc-y-ffordd,,Banc-y-ffordd
142,Bancymansel,,Bancymansel
143,Baneswell,,Baneswell
144,Bangor,,Bangor
145,"Bangor Is-coed",,Bangor-on-Dee
146,"Bangor Teifi",,"Bangor Teifi"
147,"Bangor Uchaf",,"Upper Bangor"
148,Banwen,,Banwen
149,"Barbadoes Green",,"Barbadoes Green"
150,Bargod,Bargoed,Bargoed
151,Barland,,Barland
152,Barnardtown,,Barnardtown
153,"Barrack Hill",,"Barrack Hill"
154,"Y Barri",,Barry
155,Basaleg,,Basaleg
156,"Y Batel",,Battle
157,"Beaufort Hill",,"Beaufort Hill"
158,Beddau,,Beddau
159,Beddgelert,,Beddgelert
160,Bedlinog,,Bedlinog
161,Bedwas,,Bedwas
162,Bedwell,,Bedwell
163,Bedwellte,,Bedwellty
164,Bedw-lwyn,,Bedw-lwyn
165,Beechwood,,Beechwood
166,Began,,Began
167,Begeli,,Begelly
168,"Beggars Pound",,"Beggars Pound"
169,Beili-glas,,Beili-glas
170,Belan,,Belan
171,Belgrano,,Belgrano
172,Bengal,,Bengal
173,Benllech,,Benllech
174,Bentlass,,Bentlass
175,Berllangollen,,Berllangollen
176,Berry,,Berry
177,Bers,,Bersham
178,Berth-ddu,,Berth-ddu
179,Berthen-gam,,Berthen-gam
180,Berth-lwyd,,Berth-lwyd
181,Berwyn,,Berwyn
182,Bethania,,Bethania
183,Bethania,,Bethania
184,Bethel,,Bethel
185,Bethel,,Bethel
186,Bethel,,Bethel
187,Bethesda,,Bethesda
188,Bethesda,,Bethesda
189,"Bethesda Bach",,"Bethesda Bach"
190,Bethlehem,,Bethlehem
191,Bettisfield,,Bettisfield
192,Betws,,Betws
193,Betws,,Betws
194,Betws,,Betws
195,"Betws Bledrws",,"Betws Bledrws"
196,"Betws Garmon",,"Betws Garmon"
197,"Betws Gwerful Goch",,"Betws Gwerful Goch"
198,"Betws Ifan",,"Betws Ifan"
199,"Betws Newydd",,"Betws Newydd"
200,"Y Betws",,"Y Betws"
201,Betws-y-coed,,Betws-y-coed
202,Betws-yn-Rhos,,Betws-yn-Rhos
203,Beulah,,Beulah
204,Beulah,,Beulah
205,"Big Arowry",,"Big Arowry"
206,Bigyn,,Bigyn
207,Bishpool,,Bishpool
208,Biwmares,,Beaumaris
209,"Black Vein",,"Black Vein"
210,Blackpill,,Blackpill
211,Blackrock,,Blackrock
212,Blackrock,,Blackrock
213,"Blaen Nanmor",,"Blaen Nanmor"
214,Blaenafon,,Blaenafon
215,Blaenaman,,Blaenaman
216,Blaenannerch,,Blaenannerch
217,Blaenau,,Blaenau
218,Blaenau,,Blaina
219,"Blaenau Ffestiniog",,"Blaenau Ffestiniog"
220,"Blaenau Gwent",,"Blaenau Gwent"
221,Blaencarno,,Blaencarno
222,Blaencelyn,,Blaencelyn
223,Blaencil-llech,,Blaencil-llech
224,Blaenclydach,,Blaenclydach
225,Blaen-cwm,,Blaen-cwm
226,Blaencwmboi,,Blaencwmboi
227,Blaendulais,,"Seven Sisters"
228,Blaen-ffos,,Blaen-ffos
229,Blaengarw,,Blaengarw
230,Blaengeuffordd,,Blaengeuffordd
231,Blaen-gwawr,,Blaen-gwawr
232,Blaen-gwrach,,Blaen-gwrach
233,Blaengwynfi,,Blaengwynfi
234,Blaenhalen,,Blaenhalen
235,Blaenhonddan,,Blaenhonddan
236,Blaenllechau,,Blaenllechau
237,Blaen-nos,,Blaen-nos
238,Blaenpennal,,Blaenpennal
239,Blaen-plwyf,,Blaen-plwyf
240,Blaen-porth,,Blaen-porth
241,Blaenrhondda,,Blaenrhondda
242,Blaenrhymni,,Blaenrhymni
243,Blaen-waun,,Blaen-waun
244,Blaen-waun,,Blaen-waun
245,Blaen-y-coed,,Blaen-y-coed
246,Blaen-y-cwm,,"Mountain Air"
247,Bleddfa,,Bleddfa
248,"Blue Anchor",,"Blue Anchor"
249,Bochrwyd,,Boughrood
250,Bodedern,,Bodedern
251,Bodelwyddan,,Bodelwyddan
252,Bodewryd,,Bodewryd
253,Bodfari,,Bodfari
254,Bodffordd,,Bodffordd
255,Bodorgan,,Bodorgan
256,Bodringallt,,Bodringallt
257,Boduan,,Boduan
258,Bodwrog,,Bodwrog
259,Bola-haul,,Bola-haul
260,Bolgoed,,Bolgoed
261,Boncath,,Boncath
262,Bont,,Bont
263,"Y Bont-ddu",,"Y Bont-ddu"
264,Bontdolgadfan,,Bontdolgadfan
265,"Y Bont-faen",,Cowbridge
266,"Y Bont-faen",,Forge
267,Bont-fawr,,Bont-fawr
268,Bont-goch,,Bont-goch
269,Bontnewydd,,Bontnewydd
270,Bontnewydd,,Bontnewydd
271,"Y Bontnewydd",,"Y Bontnewydd"
272,"Y Bontnewydd",,"Y Bontnewydd"
273,"Y Bontnewydd-ar-Wy",,"Newbridge on Wye"
274,Bontuchel,,Bontuchel
275,Bôn-y-maen,,Bôn-y-maen
276,Borras,,Borras
277,"Y Borth Uchaf",,"Upper Borth"
278,"Y Borth",,"Y Borth"
279,Borth-y-Gest,,Borth-y-Gest
280,Bosherston,,Bosherston
281,"Botany Bay",,"Botany Bay"
282,Botwnnog,,Botwnnog
283,Boulston,,Boulston
284,Bourneville,,Bourneville
285,"Bow Street",,"Bow Street"
286,"Bowling Bank",,"Bowling Bank"
287,Box,,Box
288,"Boys Village",,"Boys Village"
289,Bracla,,Brackla
290,Bradle,,Bradley
291,Braichmelyn,,Braichmelyn
292,Braichtalog,,Braichtalog
293,Braichycymer,,Braichycymer
294,Brechfa,,Brechfa
295,Bretton,,Bretton
296,Breudeth,,Brawdy
297,Bridell,,Bridell
298,Britannia,,Britannia
299,Brithdir,,Brithdir
300,Brithdir,,Brithdir
301,British,,British
302,Broadlay,,Broadlay
303,Broadmoor,,Broadmoor
304,Broadoak,,Broadoak
305,Broadstone,,Broadstone
306,"Broadstreet Common",,"Broadstreet Common"
307,Broadway,,Broadway
308,Broadway,,Broadway
309,Broadway,,Broadway
310,Brombil,,Brombil
311,Bronaber,,Bronaber
312,Bronant,,Bronant
313,Brongest,,Brongest
314,Bron-gwyn,,Bron-gwyn
315,Bronington,,Bronington
316,Bronllys,,Bronllys
317,Bronnydd,,Bronnydd
